Task Type,Task ID,Task Name,Status,Task Content,Assignee,Priority,Latest Comment,Comment Count,Assigned Comment Count,Due Date,Start Date,Date Created,Date Updated,Date Closed,Date Done,Created By,Space,Folder,List,Subtask ID's,Subtask URL's,tags,Lists,Sprints,Linked Tasks,Linked Docs,Time Logged,Time Logged Rolled Up,Time Estimate,Time In Status,Points Estimate,Points Estimate Rolled Up,Ad-Hoc Capacity (number),Additional Comments (text),Assets Check Days (short text),Category (drop down),Context (labels),Coordinator (drop down),External Comms (Form Entry) (drop down),FADMIN Merchant Page (url),FQC (drop down),FQC (Form Entry) (drop down),FQC Capacity (number),FTP Path (url),Flyer Cadence (drop down),Flyer Review (drop down),Flyer Review Guide (url),Flyer Run (url),Flyer Type ID (short text),Focus (drop down),Lead (drop down),Lead (Form Entry) (short text),Merchant (drop down),Merchant ID (short text),Merchant Name (short text),OneGuide (url),Package (drop down),Page Swap Guide Audit (drop down),Page Swaps & Revisions (drop down),Page Swaps & Revisions (Form Entry) (drop down),Parent Banner (drop down),Preview Days (short text),Processor (Form Entry) (short text),Requester Name (short text),Retailer (drop down),Retailer Info (labels),Segment (drop down),Tier (drop down),Total Capacity Owned (formula),Upload (drop down),Upload (Form Entry) (drop down),Upload Capacity (number),⚡ Create New Run Task on PS Board (button),👀 Off-App Check (drop down),🗓 Scheduled Until (date)
Task,86dzp0zbv,Ace Liquor,active retailers,"
",[],none,,0,0,,,"Friday, February 6th 2026, 3:48:06 pm -05:00","Thursday, April 9th 2026, 10:40:44 am -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,"[PS Retailer Hub, My Fake Retailer Dashboard]",[],,,,,15h,1990 hours,,0,,,10,"Alcohol, Wine and Spirits",,Kayla Summerhayes,,https://fadmin.flippback.com/merchants/4371/dashboard,PS Eligible,,,https://fadmin.flippback.com/merchants/4371/ftp_files,Ad-Hoc,,,,11953,,Kayla Summerhayes,,,4371,,https://docs.google.com/document/d/17nMBtPybbsqOe0lGvrZ89HdiSL5OVIAL8weiJ81ZgZE/edit?tab=t.0,,,PS Eligible,,,,,,Ace Liquor,,Longtail,Longtail,,PS Eligible,,,1775745537862,,
Task,86dtu2p3m,Acme Fresh Market,active retailers,"NOT TO BE CONFUSED WITH ACME MARKETS (MID 2365)
Clay is both DOC and DOL (OBQB)

",[],none,,0,0,,,"Thursday, June 13th 2024, 6:20:46 pm -04:00","Friday, April 17th 2026, 10:01:58 am -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,,16460 hours,,0,0,,16,Grocery,,Marion Kang,,https://fadmin.flippback.com/merchants/3535/dashboard,PS Eligible,,15,https://fadmin.flippback.com/merchants/3535/ftp_files,Weekly,,,,11727,,Alexandra Van Wissen,,,3535,,https://docs.google.com/document/d/1QL4dQjicbnqam0zqfX0Ez0nc4iAWKeqH1D4x5FChnKs/edit?tab=t.0#heading=h.y2dgj7b691i1,,,OPS,,,,,,Acme Fresh Market,,Core PLUS,3,30,PS Eligible,,15,,,"Monday, December 28th 2026"
Task,86dzp2ndr,Acme Markets,active retailers,"
",[],none,,0,0,,,"Friday, February 6th 2026, 4:56:31 pm -05:00","Thursday, April 16th 2026, 7:58:49 pm -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,,1149 hours,,0,,,9,Grocery,,Annastiina Peltola,,https://fadmin.flippback.com/merchants/2365/dashboard,PS Eligible,,,https://fadmin.flippback.com/merchants/2365/ftp_files,Weekly,,,,8242,,Julia Burch,,,2365,,https://docs.google.com/document/d/183GtNwUcM9JLHJpxIRREZrJXAirNAP8ctKJ5I8aFeS8/edit#heading=h.y2dgj7b691i1,,,OPS,,ABSCo,6,,,,,Core PLUS,,,PS Eligible,,,,,
Task,86dzp2ne4,Acme Markets - BBS,active retailers,"
",[],none,,0,0,,,"Friday, February 6th 2026, 4:56:32 pm -05:00","Thursday, April 16th 2026, 7:58:52 pm -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,,1149 hours,,0,,,10,Grocery,,Annastiina Peltola,,https://fadmin.flippback.com/merchants/2365/dashboard,PS Eligible,,,https://fadmin.flippback.com/merchants/2365/ftp_files,Ad-Hoc,,,,10650,,Julia Burch,,,2365,,https://docs.google.com/document/d/183GtNwUcM9JLHJpxIRREZrJXAirNAP8ctKJ5I8aFeS8/edit#heading=h.y2dgj7b691i4,,,OPS,,ABSCo,7,,,,,Core PLUS,,,PS Eligible,,,,,
Task,86dzp2ne5,Acme Markets - Entertaining Guide,active retailers,"
",[],none,,0,0,,,"Friday, February 6th 2026, 4:56:32 pm -05:00","Thursday, April 16th 2026, 7:58:54 pm -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,,1149 hours,,0,,,3,Grocery,,Annastiina Peltola,,https://fadmin.flippback.com/merchants/2365/dashboard,PS Eligible,,,https://fadmin.flippback.com/merchants/2365/ftp_files,Ad-Hoc,,,,10964,,Julia Burch,,,2365,,https://docs.google.com/document/d/183GtNwUcM9JLHJpxIRREZrJXAirNAP8ctKJ5I8aFeS8/edit#heading=h.y2dgj7b691i5,,,OPS,,ABSCo,1,,,,,Core PLUS,,,PS Eligible,,,,,
Task,86dzp2ndq,Acme Markets - GMI,active retailers,"
",[],none,,0,0,,,"Friday, February 6th 2026, 4:56:31 pm -05:00","Thursday, April 16th 2026, 7:59:00 pm -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,,1149 hours,,0,,,10,Grocery,,Annastiina Peltola,,https://fadmin.flippback.com/merchants/2365/dashboard,PS Eligible,,,https://fadmin.flippback.com/merchants/2365/ftp_files,Ad-Hoc,,,,11455,,Julia Burch,,,2365,,https://docs.google.com/document/d/183GtNwUcM9JLHJpxIRREZrJXAirNAP8ctKJ5I8aFeS8/edit#heading=h.y2dgj7b691i3,,,OPS,,ABSCo,7,,,,,Core PLUS,,,PS Eligible,,,,,
Task,86dzp2ndp,Acme Markets - SP,active retailers,"
",[],none,,0,0,,,"Friday, February 6th 2026, 4:56:31 pm -05:00","Thursday, April 16th 2026, 7:59:03 pm -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,,1149 hours,,0,,,10,Grocery,,Annastiina Peltola,,https://fadmin.flippback.com/merchants/2365/dashboard,PS Eligible,,,https://fadmin.flippback.com/merchants/2365/ftp_files,Ad-Hoc,,,,11718,,Julia Burch,,,2365,,https://docs.google.com/document/d/183GtNwUcM9JLHJpxIRREZrJXAirNAP8ctKJ5I8aFeS8/edit#heading=h.y2dgj7b691i2,,,OPS,,ABSCo,7,,,,,Core PLUS,,,PS Eligible,,,,,
Task,86dtu2p3t,Alaska Commercial,active retailers,,[Katelyn Cookson],none,,0,0,,,"Thursday, June 13th 2024, 6:20:47 pm -04:00","Wednesday, April 15th 2026, 4:28:08 pm -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,,16460 hours,,0,0,,5,[Brand],,Marion Kang,,https://fadmin.flippback.com/merchants/4839/dashboard,PS Eligible,,5,https://fadmin.flippback.com/merchants/4839/ftp_files,Weekly,,,,6437,,Megan Kernaghan,,,4839,,https://docs.google.com/document/d/1TF9Y76uIwFGCAel6X5d_RgzhFQPW5ZPnJ9Ah3u064Gw/edit?tab=t.0#heading=h.8x9r5jyflh1t,,,OPS,,,,,,Alaska Commercial,,Longtail,3,25,PS Eligible,,20,,,"Tuesday, December 30th 2025"
Task,86dzp2nem,Albertsons - Denver - BBS,active retailers,"
",[],none,,0,0,,,"Friday, February 6th 2026, 4:56:33 pm -05:00","Thursday, April 16th 2026, 7:59:21 pm -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,,1149 hours,,0,,,7,Grocery,,Annastiina Peltola,,https://fadmin.flippback.com/merchants/5661/dashboard,PS Eligible,,,https://fadmin.flippback.com/merchants/5661/ftp_files,Ad-Hoc,,,,10636,,Julia Burch,,,5661,,https://docs.google.com/document/d/183GtNwUcM9JLHJpxIRREZrJXAirNAP8ctKJ5I8aFeS8/edit#heading=h.y2dgj7b691i4,,,OPS,,ABSCo,4,,,,,Core PLUS,,,PS Eligible,,,,,
Task,86dzp2nf0,Albertsons - Denver - Entertaining Guide,active retailers,"
",[],none,,0,0,,,"Friday, February 6th 2026, 4:56:34 pm -05:00","Thursday, April 16th 2026, 7:59:23 pm -04:00",,,Matt Smith,VSM - Processing Support,hidden,PS Retailer Hub,[],[],,[PS Retailer Hub],[],,,,,,1149 hours,,0,,,3,Grocery,,Annastiina Peltola,,https://fadmin.flippback.com/merchants/5661/dashboard,PS Eligible,,,https://fadmin.flippback.com/merchants/5661/ftp_files,Ad-Hoc,,,,10935,,Julia Burch,,,5661,,https://docs.google.com/document/d/183GtNwUcM9JLHJpxIRREZrJXAirNAP8ctKJ5I8aFeS8/edit#heading=h.y2dgj7b691i5,,,OPS,,ABSCo,1,,,,,Core PLUS,,,PS Eligible,,,,,
