Flyer Run ID,SEO Identifier,Country,Merchant ID,Merchant Name,Project Coordinator,Project Lead,Pod,Flyer Type ID,Theme,Flyer Run Name,English Items,French Items,Live Date,Valid Date,End date,Flipp,Distribution,Hosted,Workflow Type
970330,familydollar-circular,United States,2150,Family Dollar,"Jessica Tam, Jessica Tam","Kim Potashner, Kaitlyn Morrison","Pod 2, Pod 1",269,Default,04/26 Weekly Digital Insert,,,04/26/2026,04/26/2026,05/02/2026,Displayed (not promoted),Displayed (not promoted),Displayed,Auto Stack
970331,familydollar-circular,United States,2150,Family Dollar,"Jessica Tam, Jessica Tam","Kim Potashner, Kaitlyn Morrison","Pod 2, Pod 1",269,Default,05/03 Weekly Digital Insert,,,05/03/2026,05/03/2026,05/09/2026,Displayed (not promoted),Displayed (not promoted),Displayed,Auto Stack
970332,familydollar-circular,United States,2150,Family Dollar,"Jessica Tam, Jessica Tam","Kim Potashner, Kaitlyn Morrison","Pod 2, Pod 1",269,Default,05/10 Weekly Digital Insert,,,05/10/2026,05/10/2026,05/16/2026,Displayed (not promoted),Displayed (not promoted),Displayed,Auto Stack
970333,familydollar-circular,United States,2150,Family Dollar,"Jessica Tam, Jessica Tam","Kim Potashner, Kaitlyn Morrison","Pod 2, Pod 1",269,Default,05/17 Weekly Digital Insert,,,05/17/2026,05/17/2026,05/23/2026,Displayed (not promoted),Displayed (not promoted),Displayed,Auto Stack
970334,familydollar-circular,United States,2150,Family Dollar,"Jessica Tam, Jessica Tam","Kim Potashner, Kaitlyn Morrison","Pod 2, Pod 1",269,Default,05/24 Weekly Digital Insert,,,05/24/2026,05/24/2026,05/30/2026,Displayed (not promoted),Displayed (not promoted),Displayed,Auto Stack
970335,familydollar-circular,United States,2150,Family Dollar,"Jessica Tam, Jessica Tam","Kim Potashner, Kaitlyn Morrison","Pod 2, Pod 1",269,Default,05/31 Weekly Digital Insert,,,05/31/2026,05/31/2026,06/06/2026,Displayed (not promoted),Displayed (not promoted),Displayed,Auto Stack
970336,familydollar-circular,United States,2150,Family Dollar,"Jessica Tam, Jessica Tam","Kim Potashner, Kaitlyn Morrison","Pod 2, Pod 1",269,Default,06/07 Weekly Digital Insert,,,06/07/2026,06/07/2026,06/13/2026,Displayed (not promoted),Displayed (not promoted),Displayed,Auto Stack
970337,familydollar-circular,United States,2150,Family Dollar,"Jessica Tam, Jessica Tam","Kim Potashner, Kaitlyn Morrison","Pod 2, Pod 1",269,Default,06/14 Weekly Digital Insert,,,06/14/2026,06/14/2026,06/20/2026,Displayed (not promoted),Displayed (not promoted),Displayed,Auto Stack
970338,familydollar-circular,United States,2150,Family Dollar,"Jessica Tam, Jessica Tam","Kim Potashner, Kaitlyn Morrison","Pod 2, Pod 1",269,Default,06/21 Weekly Digital Insert,,,06/21/2026,06/21/2026,06/27/2026,Displayed (not promoted),Displayed (not promoted),Displayed,Auto Stack
970339,familydollar-circular,United States,2150,Family Dollar,"Jessica Tam, Jessica Tam","Kim Potashner, Kaitlyn Morrison","Pod 2, Pod 1",269,Default,06/28 Weekly Digital Insert,,,06/28/2026,06/28/2026,07/04/2026,Displayed (not promoted),Displayed (not promoted),Displayed,Auto Stack
